sim_id,similarity_fn,model,layer,unit,description,similarity
0,soft_wpmi,task_t0_model,layer4,0,automobile 										,-1.1339808
0,soft_wpmi,task_t0_model,layer4,1,automobile 										,0.89679146
0,soft_wpmi,task_t0_model,layer4,2,automobile 										,0.94817734
0,soft_wpmi,task_t0_model,layer4,3,automobile 										,0.8601637
0,soft_wpmi,task_t0_model,layer4,4,airplane 										,0.8479109
0,soft_wpmi,task_t0_model,layer4,5,automobile 										,0.7449894
0,soft_wpmi,task_t0_model,layer4,6,airplane 										,0.9949064
0,soft_wpmi,task_t0_model,layer4,7,automobile 										,0.8740196
0,soft_wpmi,task_t0_model,layer4,8,airplane 										,0.31190205
0,soft_wpmi,task_t0_model,layer4,9,airplane 										,0.76461124
0,soft_wpmi,task_t0_model,layer4,10,automobile 										,0.9473076
0,soft_wpmi,task_t0_model,layer4,11,airplane 										,0.83273315
0,soft_wpmi,task_t0_model,layer4,12,airplane 										,1.6172457
0,soft_wpmi,task_t0_model,layer4,13,airplane 										,0.64888954
0,soft_wpmi,task_t0_model,layer4,14,automobile 										,0.8587303
0,soft_wpmi,task_t0_model,layer4,15,airplane 										,1.034071
0,soft_wpmi,task_t0_model,layer4,16,automobile 										,0.9080963
0,soft_wpmi,task_t0_model,layer4,17,airplane 										,0.8896389
0,soft_wpmi,task_t0_model,layer4,18,automobile 										,1.0609894
0,soft_wpmi,task_t0_model,layer4,19,airplane 										,0.7833195
0,soft_wpmi,task_t0_model,layer4,20,airplane 										,0.3108368
0,soft_wpmi,task_t0_model,layer4,21,automobile 										,0.8543043
0,soft_wpmi,task_t0_model,layer4,22,airplane 										,0.54359436
0,soft_wpmi,task_t0_model,layer4,23,automobile 										,1.14217
0,soft_wpmi,task_t0_model,layer4,24,airplane 										,-1.5992184
0,soft_wpmi,task_t0_model,layer4,25,automobile 										,0.77307606
0,soft_wpmi,task_t0_model,layer4,26,airplane 										,-0.21605873
0,soft_wpmi,task_t0_model,layer4,27,automobile 										,0.76992416
0,soft_wpmi,task_t0_model,layer4,28,airplane 										,0.691946
0,soft_wpmi,task_t0_model,layer4,29,automobile 										,0.7622442
0,soft_wpmi,task_t0_model,layer4,30,automobile 										,0.662838
0,soft_wpmi,task_t0_model,layer4,31,automobile 										,0.7342119
0,soft_wpmi,task_t0_model,layer4,32,automobile 										,0.8438368
0,soft_wpmi,task_t0_model,layer4,33,automobile 										,0.8930044
0,soft_wpmi,task_t0_model,layer4,34,airplane 										,-0.23386574
0,soft_wpmi,task_t0_model,layer4,35,airplane 										,0.8880997
0,soft_wpmi,task_t0_model,layer4,36,airplane 										,1.6344757
0,soft_wpmi,task_t0_model,layer4,37,automobile 										,0.24963951
0,soft_wpmi,task_t0_model,layer4,38,airplane 										,1.3019047
0,soft_wpmi,task_t0_model,layer4,39,airplane 										,0.9273777
0,soft_wpmi,task_t0_model,layer4,40,automobile 										,0.68651295
0,soft_wpmi,task_t0_model,layer4,41,airplane 										,0.6348076
0,soft_wpmi,task_t0_model,layer4,42,automobile 										,0.73691654
0,soft_wpmi,task_t0_model,layer4,43,automobile 										,0.8248024
0,soft_wpmi,task_t0_model,layer4,44,airplane 										,0.7801342
0,soft_wpmi,task_t0_model,layer4,45,airplane 										,-4.093418
0,soft_wpmi,task_t0_model,layer4,46,airplane 										,0.7221689
0,soft_wpmi,task_t0_model,layer4,47,automobile 										,0.06141281
0,soft_wpmi,task_t0_model,layer4,48,automobile 										,-2.3775558
0,soft_wpmi,task_t0_model,layer4,49,automobile 										,0.92744255
0,soft_wpmi,task_t0_model,layer4,50,airplane 										,-4.0142365
0,soft_wpmi,task_t0_model,layer4,51,airplane 										,-2.0177345
0,soft_wpmi,task_t0_model,layer4,52,airplane 										,0.96377945
0,soft_wpmi,task_t0_model,layer4,53,airplane 										,0.7569618
0,soft_wpmi,task_t0_model,layer4,54,automobile 										,-3.0889778
0,soft_wpmi,task_t0_model,layer4,55,automobile 										,0.922287
0,soft_wpmi,task_t0_model,layer4,56,airplane 										,-0.93055725
0,soft_wpmi,task_t0_model,layer4,57,airplane 										,0.035892487
0,soft_wpmi,task_t0_model,layer4,58,automobile 										,0.83840275
0,soft_wpmi,task_t0_model,layer4,59,airplane 										,-4.453949
0,soft_wpmi,task_t0_model,layer4,60,airplane 										,1.0789871
0,soft_wpmi,task_t0_model,layer4,61,airplane 										,0.98373795
0,soft_wpmi,task_t0_model,layer4,62,automobile 										,0.7612343
0,soft_wpmi,task_t0_model,layer4,63,automobile 										,0.8584118
