sim_id,similarity_fn,model,layer,unit,description,similarity
0,soft_wpmi,net_t1_e49,layer4,0,bird 										,0.0546875
0,soft_wpmi,net_t1_e49,layer4,1,bird 										,0.15591812
0,soft_wpmi,net_t1_e49,layer4,2,bird 										,0.4895172
0,soft_wpmi,net_t1_e49,layer4,3,airplane 										,0.74194336
0,soft_wpmi,net_t1_e49,layer4,4,airplane 										,0.13204956
0,soft_wpmi,net_t1_e49,layer4,5,automobile 										,0.577631
0,soft_wpmi,net_t1_e49,layer4,6,automobile 										,0.82798386
0,soft_wpmi,net_t1_e49,layer4,7,airplane 										,0.6411934
0,soft_wpmi,net_t1_e49,layer4,8,cat 										,0.13408661
0,soft_wpmi,net_t1_e49,layer4,9,airplane 										,0.20357513
0,soft_wpmi,net_t1_e49,layer4,10,automobile 										,0.52822495
0,soft_wpmi,net_t1_e49,layer4,11,cat 										,-0.017261505
0,soft_wpmi,net_t1_e49,layer4,12,bird 										,0.31988144
0,soft_wpmi,net_t1_e49,layer4,13,bird 										,0.08981705
0,soft_wpmi,net_t1_e49,layer4,14,airplane 										,0.54496
0,soft_wpmi,net_t1_e49,layer4,15,cat 										,0.41125107
0,soft_wpmi,net_t1_e49,layer4,16,automobile 										,0.7266674
0,soft_wpmi,net_t1_e49,layer4,17,bird 										,0.020503998
0,soft_wpmi,net_t1_e49,layer4,18,cat 										,0.23890305
0,soft_wpmi,net_t1_e49,layer4,19,airplane 										,0.37558556
0,soft_wpmi,net_t1_e49,layer4,20,automobile 										,0.46111488
0,soft_wpmi,net_t1_e49,layer4,21,automobile 										,0.5399132
0,soft_wpmi,net_t1_e49,layer4,22,bird 										,0.2813263
0,soft_wpmi,net_t1_e49,layer4,23,airplane 										,0.2599964
0,soft_wpmi,net_t1_e49,layer4,24,bird 										,0.0129032135
0,soft_wpmi,net_t1_e49,layer4,25,cat 										,0.5430603
0,soft_wpmi,net_t1_e49,layer4,26,airplane 										,0.9224434
0,soft_wpmi,net_t1_e49,layer4,27,cat 										,0.071697235
0,soft_wpmi,net_t1_e49,layer4,28,cat 										,0.18395233
0,soft_wpmi,net_t1_e49,layer4,29,automobile 										,0.22600555
0,soft_wpmi,net_t1_e49,layer4,30,airplane 										,1.1053238
0,soft_wpmi,net_t1_e49,layer4,31,bird 										,0.0942955
0,soft_wpmi,net_t1_e49,layer4,32,automobile 										,1.1523514
0,soft_wpmi,net_t1_e49,layer4,33,bird 										,0.6822567
0,soft_wpmi,net_t1_e49,layer4,34,cat 										,0.3943596
0,soft_wpmi,net_t1_e49,layer4,35,bird 										,0.15991974
0,soft_wpmi,net_t1_e49,layer4,36,automobile 										,0.19343567
0,soft_wpmi,net_t1_e49,layer4,37,automobile 										,0.47198105
0,soft_wpmi,net_t1_e49,layer4,38,automobile 										,0.8461094
0,soft_wpmi,net_t1_e49,layer4,39,automobile 										,0.0914917
0,soft_wpmi,net_t1_e49,layer4,40,automobile 										,0.85983276
0,soft_wpmi,net_t1_e49,layer4,41,cat 										,0.44681168
0,soft_wpmi,net_t1_e49,layer4,42,cat 										,0.654171
0,soft_wpmi,net_t1_e49,layer4,43,airplane 										,1.9960117
0,soft_wpmi,net_t1_e49,layer4,44,bird 										,-0.1781826
0,soft_wpmi,net_t1_e49,layer4,45,airplane 										,0.46526337
0,soft_wpmi,net_t1_e49,layer4,46,automobile 										,0.09840584
0,soft_wpmi,net_t1_e49,layer4,47,cat 										,0.16202164
0,soft_wpmi,net_t1_e49,layer4,48,automobile 										,0.39496994
0,soft_wpmi,net_t1_e49,layer4,49,automobile 										,0.4400139
0,soft_wpmi,net_t1_e49,layer4,50,bird 										,0.2503376
0,soft_wpmi,net_t1_e49,layer4,51,automobile 										,0.30104446
0,soft_wpmi,net_t1_e49,layer4,52,automobile 										,0.8644867
0,soft_wpmi,net_t1_e49,layer4,53,automobile 										,0.66806793
0,soft_wpmi,net_t1_e49,layer4,54,bird 										,0.21693039
0,soft_wpmi,net_t1_e49,layer4,55,airplane 										,1.5889206
0,soft_wpmi,net_t1_e49,layer4,56,bird 										,0.411438
0,soft_wpmi,net_t1_e49,layer4,57,automobile 										,1.549839
0,soft_wpmi,net_t1_e49,layer4,58,automobile 										,0.484581
0,soft_wpmi,net_t1_e49,layer4,59,airplane 										,1.6148033
0,soft_wpmi,net_t1_e49,layer4,60,automobile 										,0.6495266
0,soft_wpmi,net_t1_e49,layer4,61,airplane 										,0.33937836
0,soft_wpmi,net_t1_e49,layer4,62,airplane 										,1.553978
0,soft_wpmi,net_t1_e49,layer4,63,airplane 										,0.89863586
